image_name,true_size,estimated_size
./my_test/input\90\IMG_5149.jpg,IMG_5149.jpg,2.418847583711228
./my_test/input\90\IMG_5151.jpg,IMG_5151.jpg,2.3914283941214154
./my_test/input\90\IMG_5152.jpg,IMG_5152.jpg,2.9833323910319365
./my_test/input\90\IMG_5154.jpg,IMG_5154.jpg,2.0647962418912136
./my_test/input\90\IMG_5161.jpg,IMG_5161.jpg,2.238572866603546
./my_test/input\90\IMG_5163.jpg,IMG_5163.jpg,2.168549255693239
./my_test/input\90\IMG_5164.jpg,IMG_5164.jpg,2.713929427506695
./my_test/input\90\IMG_5165.jpg,IMG_5165.jpg,2.3172157169375103
./my_test/input\90\IMG_5166.jpg,IMG_5166.jpg,2.5577934316006314
./my_test/input\90\IMG_5167.jpg,IMG_5167.jpg,1.7394567246368648
./my_test/input\115\IMG_5200.jpeg,IMG_5200.jpeg,3.3706874195151024
./my_test/input\115\IMG_5201.jpeg,IMG_5201.jpeg,4.657756729250705
./my_test/input\120\IMG_5158.jpeg,IMG_5158.jpeg,2.709533828101028
./my_test/input\120\IMG_5159.jpeg,IMG_5159.jpeg,3.060711418722619
./my_test/input\120\IMG_5160.jpeg,IMG_5160.jpeg,3.457124294800727
./my_test/input\120\IMG_5218.jpeg,IMG_5218.jpeg,2.8524708186422325
./my_test/input\120\IMG_5219.jpeg,IMG_5219.jpeg,3.4567317840741696
./my_test/input\120\IMG_5220.jpeg,IMG_5220.jpeg,3.1808571442388534
./my_test/input\120\IMG_5221.jpeg,IMG_5221.jpeg,1.961614075564799
./my_test/input\120\IMG_5222.jpeg,IMG_5222.jpeg,2.3212653753219166
./my_test/input\120\IMG_5223.jpeg,IMG_5223.jpeg,2.7730737174634164
./my_test/input\120\IMG_5224.jpeg,IMG_5224.jpeg,3.028423685005736
./my_test/input\150\IMG_5168.jpg,IMG_5168.jpg,4.82628919836341
./my_test/input\150\IMG_5169.jpg,IMG_5169.jpg,4.881936306448026
./my_test/input\150\IMG_5170.jpg,IMG_5170.jpg,4.6754822551943995
./my_test/input\150\IMG_5171.jpg,IMG_5171.jpg,5.1738780514484795
./my_test/input\150\IMG_5203.jpg,IMG_5203.jpg,4.155888917520938
./my_test/input\150\IMG_5205.jpg,IMG_5205.jpg,4.103431654574011
./my_test/input\150\IMG_5207.jpg,IMG_5207.jpg,4.657894956307404
