Temperature: 22.48 \xc2\xb0C
Humidity: 47.70 %
Pressure: 988.06 hPa
Altitude: 211.90 meters
Temperature: 22.49 \xc2\xb0C
Humidity: 47.65 %
Pressure: 988.03 hPa
Altitude: 212.09 meters
Temperature: 22.48 \xc2\xb0C
Humidity: 47.72 %
Pressure: 988.04 hPa
Altitude: 2Temperature: 22.45 \xc2\xb0C
Humidity: 47.71 %
Pressure: 988.08 hPa
Altitude: 211.66 meters
Temperature: 22.46 \xc2\xb0C
Humidity: 47.73 %
Pressure: 988.10 hPa
Altitude: 211.55 meters
Temperature: 22.46 \xc2\xb0C
Humidity: 47.81 %
Pressure: 988.06 hPa
Altitude: 211.88 meters
Temperature: 22.46 \xc2\xb0C
Humidity: 47.84 %
Pressure: 988.08 hPa
Altitude: 211.71 meters
Temperature: 22.46 \xc2\xb0C
Humidity: 47.80 %
Pressure: 988.09 hPa
Altitude: 211.58 meters
Temperature: 22.52 \xc2\xb0C
Humidity: 52.21 %
Pressure: 988.05 hPa
Altitude: 211.99 meters
Temperature: 22.61 \xc2\xb0C
Humidity: 58.66 %
Pressure: 988.10 hPa
Altitude: 211.55 meters
Temperature: 22.70 \xc2\xb0C
Humidity: 62.51 %
Pressure: 988.10 hPa
Altitude: 211.54 meters
Temperature: 22.79 \xc2\xb0C
Humidity: 64.97 %
Pressure: 988.11 hPa
Altitude: 211.40 meters
Temperature: 22.88 \xc2\xb0C
Humidity: 66.79 %
Pressure: 988.09 hPa
Altitude: 211.61 meters
Temperature: 22.99 \xc2\xb0C
Humidity: 67.34 %
Pressure: 988.09 hPa
Altitude: 211.62 meters
Temperature: 23.08 \xc2\xb0C
Humidity: 66.78 %
Pressure: 988.10 hPa
Altitude: 211.55 meters
Temperature: 23.17 \xc2\xb0C
Humidity: 65.87 %
Pressure: 988.09 hPa
Altitude: 211.58 meters
Temperature: 23.29 \xc2\xb0C
Humidity: 68.25 %
Pressure: 988.10 hPa
Altitude: 211.50 meters
Temperature: 23.29 \xc2\xb0C
Humidity: 58.33 %
Pressure: 988.10 hPa
Altitude: 211.56 meters
Temperature: 23.32 \xc2\xb0C
Humidity: 54.01 %
Pressure: 988.10 hPa
Altitude: 211.50 meters
Temperature: 23.35 \xc2\xb0C
Humidity: 52.62 %
Pressure: 988.08 hPa
Altitude: 211.67 meters
Temperature: 23.37 \xc2\xb0C
Humidity: 50.92 %
Pressure: 988.07 hPa
Altitude: 211.79 meters
Temperature: 23.38 \xc2\xb0C
Humidity: 49.64 %
Pressure: 988.07 hPa
Altitude: 211.75 meters
Temperature: 23.41 \xc2\xb0C
Humidity: 49.03 %
Pressure: 988.08 hPa
Altitude: 211.66 meters
Temperature: 23.43 \xc2\xb0C
Humidity: 48.30 %
Pressure: 988.09 hPa
Altitude: 211.57 meters
Temperature: 23.48 \xc2\xb0C
Humidity: 51.32 %
Pressure: 988.11 hPa
Altitude: 211.46 meters
Temperature: 23.62 \xc2\xb0C
Humidity: 54.59 %
Pressure: 988.12 hPa
Altitude: 211.37 meters
Temperature: 23.80 \xc2\xb0C
Humidity: 61.74 %
Pressure: 988.08 hPa
Altitude: 211.70 meters
Temperature: 24.94 \xc2\xb0C
Humidity: 78.12 %
Pressure: 988.09 hPa
Altitude: 211.60 meters
Temperature: 26.14 \xc2\xb0C
Humidity: 83.72 %
Pressure: 988.18 hPa
Altitude: 210.84 meters
Temperature: 27.55 \xc2\xb0C
Humidity: 86.77 %
Pressure: 988.06 hPa
Altitude: 211.86 meters
Temperature: 28.07 \xc2\xb0C
Humidity: 87.05 %
Pressure: 988.11 hPa
Altitude: 211.46 meters
Temperature: 27.64 \xc2\xb0C
Humidity: 85.45 %
Pressure: 988.13 hPa
Altitude: 211.24 meters
Temperature: 26.72 \xc2\xb0C
Humidity: 84.10 %
Pressure: 988.10 hPa
Altitude: 211.56 meters
Temperature: 26.46 \xc2\xb0C
Humidity: 80.05 %
Pressure: 988.17 hPa
Altitude: 210.95 meters
Temperature: 26.55 \xc2\xb0C
Humidity: 62.75 %
Pressure: 988.11 hPa
Altitude: 211.43 meters
Temperature: 26.57 \xc2\xb0C
Humidity: 55.69 %
Pressure: 988.12 hPa
Altitude: 211.40 meters
Temperature: 26.52 \xc2\xb0C
Humidity: 51.34 %
Pressure: 988.13 hPa
Altitude: 211.27 meters
Temperature: 26.42 \xc2\xb0C
Humidity: 48.09 %
Pressure: 988.12 hPa
Altitude: 211.33 meters
Temperature: 26.36 \xc2\xb0C
Humidity: 50.11 %
Pressure: 988.11 hPa
Altitude: 211.45 meters
Temperature: 26.25 \xc2\xb0C
Humidity: 46.65 %
Pressure: 988.07 hPa
Altitude: 211.82 meters
Temperature: 26.13 \xc2\xb0C
Humidity: 44.92 %
Pressure: 988.04 hPa
Altitude: 212.03 meters
Temperature: 25.89 \xc2\xb0C
Humidity: 45.39 %
Pressure: 988.07 hPa
Altitude: 211.78 meters
Temperature: 25.75 \xc2\xb0C
Humidity: 47.08 %
Pressure: 988.08 hPa
Altitude: 211.73 meters
Temperature: 25.61 \xc2\xb0C
Humidity: 44.96 %
Pressure: 988.07 hPa
Altitude: 211.79 meters
Temperature: 25.51 \xc2\xb0C
Humidity: 44.57 %
Pressure: 988.08 hPa
Altitude: 211.73 meters
Temperature: 25.38 \xc2\xb0C
Humidity: 43.99 %
Pressure: 988.08 hPa
Altitude: 211.66 meters
Temperature: 25.28 \xc2\xb0C
Humidity: 43.79 %
Pressure: 988.06 hPa
Altitude: 211.87 meters
Temperature: 25.15 \xc2\xb0C
Humidity: 43.92 %
Pressure: 988.03 hPa
Altitude: 212.10 meters
Temperature: 25.04 \xc2\xb0C
Humidity: 43.65 %
Pressure: 988.02 hPa
Altitude: 212.23 meters
Temperature: 24.95 \xc2\xb0C
Humidity: 43.89 %
Pressure: 988.05 hPa
Altitude: 211.97 meters
Temperature: 24.81 \xc2\xb0C
Humidity: 43.48 %
Pressure: 988.07 hPa
Altitude: 211.78 meters
Temperature: 24.77 \xc2\xb0C
Humidity: 43.32 %
Pressure: 988.08 hPa
Altitude: 211.77 meters
Temperature: 24.72 \xc2\xb0C
Humidity: 43.35 %
Pressure: 988.06 hPa
